,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
124,023160,KR7023160005,태광,KOSDAQ,우량기업부,17550,1,1300,8.0,15950,17550,15900,326564,5592775600,465075000000,26500000,KSQ
125,041960,KR7041960006,코미팜,KOSDAQ,벤처기업부,7240,2,-260,-3.47,7460,7460,7220,62096,454374710,464705742240,64185876,KSQ
126,043150,KR7043150002,바텍,KOSDAQ,우량기업부,30850,2,-250,-0.8,30950,31050,30700,8661,267009800,458253797600,14854256,KSQ
127,025980,KR7025980004,아난티,KOSDAQ,중견기업부,5290,2,-150,-2.76,5350,5390,5270,251133,1332525390,457208886290,86428901,KSQ
128,183300,KR7183300003,코미코,KOSDAQ,우량기업부,45400,2,-600,-1.3,46000,46150,44900,24539,1118825350,454928293800,10020447,KSQ
129,033290,KR7033290008,코웰패션,KOSDAQ,우량기업부,5090,2,-60,-1.17,5090,5150,5050,58171,296112700,450466191060,88500234,KSQ
130,230360,KR7230360000,에코마케팅,KOSDAQ,중견기업부,13750,2,-100,-0.72,13550,13900,13550,21956,300416850,444097898750,32298029,KSQ
131,067310,KR7067310003,하나마이크론,KOSDAQ,중견기업부,9210,2,-100,-1.07,9090,9290,9060,286509,2625774940,441360275340,47921854,KSQ
132,104460,KR7104460001,디와이피엔에프,KOSDAQ,우량기업부,40850,2,-50,-0.12,40350,41150,39800,13764,557041150,437651581250,10713625,KSQ
133,199800,KR7199800004,툴젠,KOSDAQ,기술성장기업부,55700,2,-300,-0.54,55400,56200,54400,3427,189150000,437380183900,7852427,KSQ
134,268600,KR7268600004,셀리버리,KOSDAQ,기술성장기업부,12200,2,-300,-2.4,12100,12400,12050,185338,2280239300,432922721800,35485469,KSQ
135,319660,KR7319660007,피에스케이,KOSDAQ,우량기업부,14850,2,-250,-1.66,14500,15000,14450,149446,2198636650,430155702900,28966714,KSQ
136,060150,KR7060150000,인선이엔티,KOSDAQ,우량기업부,9110,1,10,0.11,8980,9120,8920,88008,795838540,424194505320,46563612,KSQ
137,014620,KR7014620009,성광벤드,KOSDAQ,중견기업부,14700,1,950,6.91,13500,14800,13450,569019,8186685950,420420000000,28600000,KSQ
138,089980,KR7089980007,상아프론테크,KOSDAQ,우량기업부,26250,1,750,2.94,25200,26850,24850,78234,2045794050,419712221250,15989037,KSQ
139,131290,KR7131290009,티에스이,KOSDAQ,우량기업부,37650,2,-350,-0.92,37100,37750,36950,38878,1455034100,416462801850,11061429,KSQ
140,015750,KR7015750003,성우하이텍,KOSDAQ,우량기업부,5180,2,-90,-1.71,5140,5220,5120,810630,4191387880,414400000000,80000000,KSQ
141,217270,KR7217270008,넵튠,KOSDAQ,중견기업부,12500,2,-600,-4.58,12800,12800,12400,68361,860977850,412602800000,33008224,KSQ
142,033640,KR7033640004,네패스,KOSDAQ,중견기업부,17800,2,-400,-2.2,17550,17950,17550,56840,1007509500,410453795600,23059202,KSQ
143,319400,KR7319400008,현대무벡스,KOSDAQ,우량기업부,3560,1,155,4.55,3345,3610,3340,11684122,40852453335,408563987400,114765165,KSQ
144,099430,KR7099430001,바이오플러스,KOSDAQ,벤처기업부,28200,2,-200,-0.7,28000,28850,28000,168642,4787552850,408412591200,14482716,KSQ
145,029960,KR7029960002,코엔텍,KOSDAQ,우량기업부,8120,1,90,1.12,7870,8140,7860,101852,820444110,406000000000,50000000,KSQ
146,006730,KR7006730006,서부T&D,KOSDAQ,중견기업부,6720,2,-60,-0.88,6710,6730,6640,47897,319384790,405886017600,60399705,KSQ
147,298540,KR7298540006,더네이쳐홀딩스,KOSDAQ,우량기업부,27500,1,150,0.55,26700,27600,26550,10845,295365150,399978040000,14544656,KSQ
148,230240,KR7230240004,에치에프알,KOSDAQ,벤처기업부,29650,2,-350,-1.17,29350,30200,29250,26047,772468850,399949620900,13489026,KSQ
149,115450,KR7115450009,HLB테라퓨틱스,KOSDAQ,중견기업부,12650,2,-100,-0.78,12350,12850,12350,92163,1162125250,396390419150,31335211,KSQ
150,950220,KR8840140006,네오이뮨텍,KOSDAQ,외국기업(소속부없음),4010,2,-60,-1.47,4045,4190,3970,1200752,4915107835,396298134650,98827465,KSQ
151,289220,KR7289220006,자이언트스텝,KOSDAQ,기술성장기업부,18000,2,-250,-1.37,17500,18200,17400,117383,2090186700,395931996000,21996222,KSQ
152,243840,KR7243840006,신흥에스이씨,KOSDAQ,우량기업부,50800,1,100,0.2,49800,51300,49600,20250,1024415600,394372033200,7763229,KSQ
153,206650,KR7206650004,유바이오로직스,KOSDAQ,기술성장기업부,10800,2,-300,-2.7,10800,11150,10700,116340,1269758700,393603915600,36444807,KSQ
154,064260,KR7064260003,다날,KOSDAQ,우량기업부,5690,2,-140,-2.4,5660,5730,5630,365771,2076781710,392320037600,68949040,KSQ
155,179290,KR7179290002,엠아이텍,KOSDAQ,벤처기업부,12200,2,-100,-0.81,12050,12350,12000,132197,1606392800,391363897600,32079008,KSQ
156,102940,KR7102940004,코오롱생명과학,KOSDAQ,관리종목(소속부없음),34050,1,450,1.34,33300,34450,32700,37930,1281926800,388590721800,11412356,KSQ
157,003800,KR7003800000,에이스침대,KOSDAQ,관리종목(소속부없음),34950,1,150,0.43,34750,35200,34550,303,10557300,387595500000,11090000,KSQ
158,151860,KR7151860004,KG ETS,KOSDAQ,우량기업부,10750,1,100,0.94,10500,11300,10400,1931475,20987260700,387000000000,36000000,KSQ
159,278650,KR7278650007,노터스,KOSDAQ,벤처기업부,5480,2,-70,-1.26,5370,5640,5360,2190237,12113439680,384999465960,70255377,KSQ
160,041190,KR7041190000,우리기술투자,KOSDAQ,우량기업부,4580,2,-95,-2.03,4585,4650,4550,366660,1682340960,384720000000,84000000,KSQ
161,038500,KR7038500005,삼표시멘트,KOSDAQ,우량기업부,3550,2,-15,-0.42,3500,3550,3455,94390,330090730,383102886300,107916306,KSQ
162,131970,KR7131970006,두산테스나,KOSDAQ,우량기업부,25900,1,300,1.17,24950,26000,24650,98422,2474740550,382273044300,14759577,KSQ
163,051500,KR7051500007,CJ프레시웨이,KOSDAQ,중견기업부,32050,2,-200,-0.62,31900,32150,31300,8711,277180000,380484331300,11871586,KSQ
164,118990,KR7118990001,모트렉스,KOSDAQ,중견기업부,15450,1,50,0.32,14900,15600,14850,662902,10101956050,378455475000,24495500,KSQ
165,058610,KR7058610007,에스피지,KOSDAQ,우량기업부,16950,1,250,1.5,16350,17100,16250,368853,6176044000,375906252000,22177360,KSQ
