,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
682,001290,KR7001290006,상상인증권,KOSPI,,820,2,-7,-0.85,827,827,806,16563,13489906,88836438400,108337120,STK
683,007110,KR7007110000,일신석재,KOSPI,,1145,2,-15,-1.29,1135,1145,1125,108065,122814030,88687818450,77456610,STK
684,010600,KR7010600005,웰바이오텍,KOSPI,,1325,2,-5,-0.38,1300,1330,1285,92459,121318700,88022537800,66432104,STK
685,009460,KR7009460007,한창제지,KOSPI,,1475,2,-20,-1.34,1445,1490,1445,60942,89119170,88009541850,59667486,STK
686,000890,KR7000890004,보해양조,KOSPI,,625,2,-3,-0.48,623,628,618,124360,77375976,86950080625,139120129,STK
687,006340,KR7006340004,대원전선,KOSPI,,1205,1,5,0.42,1175,1205,1160,198718,236657580,86717263470,71964534,STK
688,003780,KR7003780004,진양산업,KOSPI,,6650,2,-50,-0.75,6470,6710,6470,27766,182947490,86450000000,13000000,STK
689,002720,KR7002720001,국제약품,KOSPI,,4275,2,-80,-1.84,4275,4330,4235,35343,150750975,86334261975,20195149,STK
690,006880,KR7006880009,신송홀딩스,KOSPI,,7290,2,-340,-4.46,7220,7370,7120,197408,1437699240,86232374820,11828858,STK
691,000650,KR7000650002,천일고속,KOSPI,,60200,2,-600,-0.99,60800,61200,60200,42,2543100,86039044000,1429220,STK
692,002760,KR7002760007,보락,KOSPI,,1435,2,-5,-0.35,1420,1450,1415,57278,81848815,85956500000,59900000,STK
693,007590,KR7007590003,동방아그로,KOSPI,,6310,2,-70,-1.1,6320,6370,6250,5808,36624210,85926910870,13617577,STK
694,058860,KR7058860008,KTis,KOSPI,,2445,2,-30,-1.21,2475,2475,2410,31577,76932790,85090890000,34802000,STK
695,012200,KR7012200002,계양전기,KOSPI,,2610,2,-25,-0.95,2600,2625,2580,7316,19046575,85086000000,32600000,STK
696,025750,KR7025750001,한솔홈데코,KOSPI,,1055,3,0,0.0,1040,1055,1030,98909,103289070,84996232195,80565149,STK
697,027740,KR7027740000,마니커,KOSPI,,1335,1,35,2.69,1310,1365,1310,454964,611346175,84787489380,63511228,STK
698,011330,KR7011330008,유니켐,KOSPI,,1155,3,0,0.0,1145,1160,1140,26956,30883225,84224195055,72921381,STK
699,006660,KR7006660005,삼성공조,KOSPI,,10300,2,-100,-0.96,10300,10300,10200,2240,22982450,83701034200,8126314,STK
